asset_prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
5172.54,862.71,-0.00,1637.29,-0.00
5341.36,1706.82,-0.00,793.18,-0.00
4368.64,0.00,-0.00,5656.78,-3156.78
5284.46,1422.30,-0.00,1077.70,-0.00
5118.05,590.23,-0.00,1909.77,-0.00
4697.18,0.00,-0.00,4014.11,-1514.11
4661.86,0.00,-0.00,4190.69,-1690.69
4606.47,0.00,-0.00,4467.65,-1967.65
4779.94,0.00,-0.00,3600.29,-1100.29
5057.86,289.28,-0.00,2210.72,-0.00
5166.14,830.72,-0.00,1669.28,-0.00
4898.18,0.00,-0.00,3009.08,-509.08
5124.47,622.34,-0.00,1877.66,-0.00
4080.90,0.00,-0.00,7095.52,-4595.52
4813.56,0.00,-0.00,3432.22,-932.22
4962.90,0.00,-0.00,2685.48,-185.48
4818.46,0.00,-0.00,3407.71,-907.71
4508.96,0.00,-0.00,4955.20,-2455.20
5506.18,2530.91,-30.91,0.00,-0.00
5714.61,3573.04,-1073.04,0.00,-0.00
6110.88,5554.40,-3054.40,0.00,-0.00
5109.11,545.57,-0.00,1954.43,-0.00
4831.03,0.00,-0.00,3344.83,-844.83
5219.31,1096.53,-0.00,1403.47,-0.00
5334.40,1672.01,-0.00,827.99,-0.00
5130.85,654.23,-0.00,1845.77,-0.00
4872.09,0.00,-0.00,3139.54,-639.54
4675.45,0.00,-0.00,4122.73,-1622.73
4997.49,0.00,-0.00,2512.53,-12.53
5037.84,189.20,-0.00,2310.80,-0.00
5335.21,1676.06,-0.00,823.94,-0.00
5741.91,3709.57,-1209.57,0.00,-0.00
5281.69,1408.46,-0.00,1091.54,-0.00
4211.01,0.00,-0.00,6444.94,-3944.94
5553.08,2765.42,-265.42,0.00,-0.00
4551.97,0.00,-0.00,4740.17,-2240.17
5266.09,1330.46,-0.00,1169.54,-0.00
4703.39,0.00,-0.00,3983.04,-1483.04
5410.04,2050.21,-0.00,449.79,-0.00
4864.67,0.00,-0.00,3176.64,-676.64
4559.46,0.00,-0.00,4702.68,-2202.68
